CRASH_YEAR,CRASH_MONTH,BEAT_OF_OCCURRENCE,avg_age,avg_speed_limit,total_crashes,sum_injuries_total,sum_injuries_fatal,sum_injuries_incapacitating,sum_injuries_non_incapacitating,sum_injuries_reported_not_evident,sum_weather_category_clear,sum_weather_category_cloudy,sum_weather_category_rain,sum_weather_category_extreme,sum_weather_category_unknown,sum_lighting_category_daylight,sum_lighting_category_night,sum_lighting_category_unknown,sum_roadway_surface_category_dry,sum_roadway_surface_category_wet,sum_roadway_surface_category_snow,sum_roadway_surface_category_ice,sum_roadway_surface_category_unknown,sum_road_defect_category_no_defects,sum_road_defect_category_bad,sum_road_defect_category_defect,sum_road_defect_category_debris,sum_road_defect_category_unknown,sum_damage_category_high,sum_damage_category_low,sum_damage_category_medium,sum_gender_unknown,sum_gender_female,sum_gender_male,sum_category_motorcycle,sum_category_off-road/specialized,sum_category_passenger vehicle,sum_category_public transport,sum_category_truck/commercial
2017,1,724.0,39.27272727272727,28.076923076923077,13,3.0,0.0,0.0,0.0,3.0,9,1,2,0,1,5,7,1,10,2,0,0,1,11,0,0,0,2,8,2,3,0.0,0.0,0.0,0.0,0.0,16.0,0.0,0.0
2017,1,725.0,40.31818181818182,29.642857142857142,14,3.0,0.0,0.0,3.0,0.0,10,0,1,2,1,6,8,0,9,2,1,2,0,13,1,0,0,0,12,2,0,0.0,0.0,0.0,0.0,0.0,17.0,0.0,0.0
2017,1,726.0,40.166666666666664,25.714285714285715,7,4.0,0.0,1.0,3.0,0.0,3,1,2,0,1,4,2,1,4,2,0,0,1,6,0,0,1,0,6,1,0,0.0,0.0,0.0,0.0,0.0,11.0,0.0,0.0
2017,1,731.0,41.46875,28.68421052631579,19,5.0,1.0,0.0,4.0,0.0,10,1,3,3,2,6,11,2,8,5,2,1,3,13,0,1,0,5,12,4,3,0.0,0.0,0.0,0.0,0.0,25.0,1.0,0.0
2017,1,732.0,49.583333333333336,28.75,8,4.0,0.0,0.0,1.0,3.0,6,1,1,0,0,6,2,0,5,2,0,1,0,8,0,0,0,0,7,0,1,0.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0
2017,1,733.0,43.75,28.181818181818183,11,4.0,0.0,1.0,3.0,0.0,5,3,0,1,2,4,7,0,4,1,0,6,0,11,0,0,0,0,9,1,1,0.0,0.0,0.0,0.0,0.0,11.0,1.0,0.0
2017,1,734.0,44.13636363636363,30.0,15,4.0,0.0,1.0,3.0,0.0,9,2,2,0,2,6,9,0,7,4,0,2,2,10,2,0,0,3,12,1,2,0.0,0.0,0.0,0.0,0.0,20.0,1.0,1.0
2017,1,735.0,43.411764705882355,28.75,20,4.0,0.0,0.0,3.0,1.0,14,1,3,2,0,11,8,1,14,3,1,2,0,18,0,0,0,2,12,4,4,0.0,0.0,0.0,0.0,0.0,29.0,1.0,0.0
2017,1,811.0,41.13095238095239,27.5,18,0.0,0.0,0.0,0.0,0.0,17,0,0,1,0,8,9,1,15,1,0,2,0,17,0,0,0,1,11,1,6,0.0,0.0,0.0,1.0,0.0,27.0,1.0,0.0
2017,1,812.0,40.128205128205124,27.647058823529413,17,1.0,0.0,0.0,1.0,0.0,9,0,5,1,2,7,8,2,8,6,0,1,2,12,0,0,0,5,10,0,7,0.0,0.0,0.0,0.0,0.0,25.0,0.0,0.0
